row_type,method_id,preset,backend,fit_mode,truth_data_used,trajectory_model_weighted_score_0_100,trajectory_model_interpretation,segment_trajectory_score_0_100,event_aware_join_score_0_100,hard_gap_honesty_score_0_100,locality_scope_score_0_100,mean_position_score_0_100,mean_velocity_evidence_score_0_100,mean_fd_kinematics_score_0_100,mean_smoothness_score_0_100,mean_plausibility_score_0_100,mean_detail_score_0_100,mean_derivative_closure_score_0_100,hard_gap_count,bridged_gap_count,bridge_frame_count,normal_join_count,normal_max_acceleration_jump_mps2,normal_max_jerk_jump_mps3,locality_note,segment_id,component_id,regime_label,trajectory_regime_bucket,t0,t1,n_observations,trajectory_model_score_0_100,position_score_0_100,velocity_evidence_score_0_100,fd_kinematics_score_0_100,smoothness_score_0_100,plausibility_score_0_100,detail_score_0_100,derivative_closure_score_0_100,velocity_weighted_rmse_3d_mps,fd_velocity_rmse_3d_mps,track_angle_median_error_deg,jerk_per_speed_rms_1_s2,snap_proxy_rms_mps4,turn_rate_p95_deg_s,velocity_detail_retention_ratio
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0006,comp_0001,level_accel,airborne,1766851097.0,1766851119.0,21,88.72019176496728,100.0,100.0,89.74278108897919,100.0,100.0,3.61346790730604,100.0,2.6135263374990223,20.303426654680596,0.8025968374468355,0.0005605133065284353,0.005349267592330265,0.059650908439253615,0.08975636334972631
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0007,comp_0001,energy_constant,airborne,1766851119.0,1766851223.0,102,88.63734222269818,96.6649471588911,100.0,88.67982107751638,100.0,100.0,8.487771912286211,100.0,1.5697200700080498,21.22806099960583,0.7866647549035096,0.0002721642854784705,0.0060006156646542335,0.026495545040553632,0.10291698416317277
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0008,comp_0001,level_accel__turn_left_slow,airborne,1766851223.0,1766851315.0,83,98.35665156705413,99.93221901574815,100.0,89.77990803227706,100.0,100.0,100.0,100.0,5.274549957766309,20.255604174741016,0.8208374528417075,0.001773673547394384,0.020176599467293926,2.6040458532991906,0.9642235646926979
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0009,comp_0001,energy_constant,airborne,1766851315.0,1766851392.0,77,86.99784647425484,98.42410327596153,100.0,82.36736122080836,100.0,100.0,0.08176285810102095,100.0,2.2196084650153582,26.7979133592368,0.6099554067722215,0.0006415427267331242,0.015662351107026892,0.05484007278104815,0.08022075971687276
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0010,comp_0001,level_accel__turn_left_slow,airborne,1766851392.0,1766851445.0,51,92.0128460926384,60.12660336224314,100.0,79.98533555730752,100.0,100.0,100.0,100.0,8.320670394494226,28.91737968933441,2.681119574942925,0.0010295913625442432,0.013025987043043287,1.4736546683476035,0.7166572474806864
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0011,comp_0001,energy_constant,airborne,1766851445.0,1766851506.0,53,85.18781309127678,87.35654588995294,100.0,78.3753115753521,100.0,100.0,1.6497773242608411,100.0,1.5542022021268072,30.37360981783482,0.3673598825257064,0.00025238642479241067,0.006309705274418422,0.025793959675219587,0.08445439877550427
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0012,comp_0001,level_decel,airborne,1766851506.0,1766851571.0,64,87.0567387577836,95.84340300470598,100.0,77.86989007881927,100.0,100.0,10.963479846077906,100.0,1.855798886977595,30.790365827956776,0.6154802302665395,0.0002242460408900329,0.005724623049369011,0.04734726424850086,0.10960139558441034
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0013,comp_0001,energy_constant,airborne,1766851571.0,1766851621.0,50,87.06010541920251,96.85669598536337,100.0,82.64948994759109,100.0,100.0,2.133835093443292,100.0,2.811916199588568,26.589356773791767,0.613667358252589,0.0004400499528451352,0.0095581811919785,0.03986441556224874,0.08576135475229689
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0014,comp_0001,level_decel__turn_left_slow,airborne,1766851621.0,1766851652.0,29,98.31182312471488,98.05258046051266,100.0,90.90945918408337,100.0,100.0,100.0,100.0,5.35638420181561,19.27013868671527,1.719401942707959,0.0019624531699935226,0.02353953124281824,2.6196563445055707,0.7395184851707911
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0015,comp_0001,level_decel__turn_left_slow,airborne,1766851652.0,1766851671.0,16,98.54178213480017,100.0,100.0,90.886138342501,100.0,100.0,100.0,100.0,6.708062297774063,19.308891746561414,1.6226785578296112,0.0020882719957320195,0.018593323945273778,2.451096537721466,0.667473016729756
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0016,comp_0001,level_decel__turn_left_slow,airborne,1766851671.0,1766851690.0,19,88.10422697673624,100.0,100.0,80.80077799725419,100.0,100.0,11.76102497175562,100.0,2.176626849492436,28.232156653903203,0.6420024672937822,0.00155595362867907,0.02593043644911083,0.4974894523904346,0.11175476742374017
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0017,comp_0001,level_decel__turn_left_slow,airborne,1766851690.0,1766851739.0,45,97.89674062172269,93.14102597768968,100.0,91.99885940249939,100.0,100.0,100.0,100.0,6.014831411270115,18.270318610928044,1.8438057309863827,0.0019277813100755125,0.028267834070581078,2.2568057217190938,0.8501814299513584
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0018,comp_0001,level_decel__turn_left_medium,airborne,1766851739.0,1766851754.0,14,98.30474486726693,98.3815506696026,100.0,90.61849241821633,100.0,100.0,100.0,100.0,7.5136775358785615,19.47851508243192,4.592764624795173,0.0028045569398912687,0.03603579945867934,2.480744972916704,0.4846709473297262
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0019,comp_0001,level_decel__turn_left_slow,airborne,1766851754.0,1766851790.0,37,97.57578107293969,100.0,100.0,99.52297186974153,100.0,100.0,76.52105573781031,100.0,1.7988676209274335,11.119817282293079,1.364151100380412,0.0014728892797059461,0.017338184329757735,0.7993123283580582,0.28660685049208784
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0020,comp_0001,descent,approach_final,1766851790.0,1766851992.0,202,93.02569955211749,100.0,100.0,97.55958458193383,100.0,100.0,34.1616601900806,100.0,1.5671428818037105,13.392635731780635,0.9081551586972382,0.0006702533941306205,0.014499442091280816,0.12772316345882262,0.17223648251321763
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0021,comp_0001,climb,airborne,1766851992.0,1766852025.0,32,97.73255492891597,94.50669194932372,99.54607911483261,90.45911033954525,100.0,100.0,100.0,100.0,6.8600320476028545,17.856191402882004,1.4693060431217775,0.003312746261600831,0.025532750992748963,0.33955821505474815,0.39810075810174284
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0022,comp_0001,climb,airborne,1766852025.0,1766852040.0,8,93.07148201648367,100.0,100.0,100.0,100.0,100.0,30.71482016483662,100.0,2.516003587189827,7.9922686282627025,1.7648169249829553,0.0015418508045668216,0.014627254041816713,0.43408478381923427,0.16293001444505886
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0023,comp_0001,climb,airborne,1766852040.0,1766852077.0,13,96.39939691002094,84.39439262535045,100.0,93.10786374117015,100.0,100.0,93.74811596391655,100.0,2.54250647243941,17.368991677138656,2.153726080503649,0.000588610926781231,0.004489607460125681,0.2761960255091911,0.33311991310257466
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0024,comp_0001,energy_constant,airborne,1766852077.0,1766852161.0,75,92.10894379686955,99.36011190091321,100.0,85.23888334932367,100.0,100.0,45.47509032868158,100.0,1.88816062896232,24.265238832991745,1.0087442586582331,0.00040244929940840403,0.005433028746213314,0.20502385034665405,0.20278274388744025
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0025,comp_0001,level_accel__turn_right_slow,airborne,1766852161.0,1766852189.0,26,99.20171731833764,100.0,100.0,95.01073323961016,100.0,100.0,100.0,100.0,6.1297808723915725,15.595512123261408,1.1176851606276463,0.0024162211782006856,0.02649857424103334,2.6381784586335773,0.6611942228314356
