method_id,segment_id,component_id,regime_label,t0,t1,duration_s,n_observations,start_sample_index,end_sample_index,start_boundary_id,end_boundary_id,rmse_3d_m,rmse_horizontal_m,rmse_vertical_m,median_error_3d_m,p95_error_3d_m,max_error_3d_m,median_horizontal_error_m,p95_horizontal_error_m,max_horizontal_error_m,median_vertical_error_m,p95_vertical_error_m,max_vertical_error_m,accel_rms_mps2,accel_p95_mps2,accel_max_mps2,jerk_rms_mps3,jerk_p95_mps3,jerk_max_mps3,endpoint_constraint_error_m,trajectory_model_score_0_100,trajectory_model_interpretation,trajectory_truth_data_used,trajectory_regime_bucket,trajectory_position_score_0_100,trajectory_velocity_evidence_score_0_100,trajectory_fd_kinematics_score_0_100,trajectory_smoothness_score_0_100,trajectory_plausibility_score_0_100,trajectory_detail_score_0_100,trajectory_derivative_closure_score_0_100,velocity_evidence_weighted_rmse_3d_mps,velocity_evidence_weighted_p95_3d_mps,fd_velocity_rmse_3d_mps,fd_track_angle_median_error_deg,jerk_per_speed_rms_1_s2,snap_proxy_rms_mps4,turn_rate_p95_deg_s,curvature_p95_1_per_m,physical_accel_p95_mps2,velocity_detail_retention_ratio,position_velocity_closure_rms_mps,velocity_acceleration_closure_rms_mps2,selected_score,position_cost_m,motion_cost_m_equivalent,complexity_cost_m_equivalent,selected_reason,adaptive_eta,smoothing_lambda,velocity_weight,knot_spacing_s,min_observations_per_basis,jerk_penalty_weight,boundary_acceleration_prior_weight,effective_velocity_weight,effective_velocity_outlier_gate_mps,effective_adaptive_speed_floor_mps,effective_min_observations_per_basis,effective_jerk_penalty_weight,effective_snap_penalty_weight,effective_boundary_velocity_prior_weight,effective_boundary_acceleration_prior_weight,effective_hard_component_endpoint_velocities,effective_endpoint_guard_window_s,effective_endpoint_jerk_penalty_multiplier,effective_endpoint_snap_penalty_multiplier,candidate_count,successful_candidate_count,n_basis,condition_number_hessian
kalman_rts_balanced,kalman_rts_balanced_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,1766850172.0,1766854176.0,4004.0,3728,0,3972,,,17.51372140981148,17.416837143731257,1.8396253774158533,10.939184300611037,35.348460252153274,71.23397240136865,10.785673483289788,35.31044571783696,71.23373333279827,0.9619247616178086,3.7027236462108633,10.60023829743659,1.875400495452882,4.316563922161288,5.565278585431792,0.19166714413042496,0.39694971837276094,0.7677324202109829,0.0,96.89731385786739,excellent_trajectory_model_for_reference_free_derivative_analysis,False,ground,100.0,100.0,86.45406696350751,100.0,93.319022455044,100.0,100.0,3.2148441715692266,7.371536006893558,23.208654207055382,0.7118297103955462,0.0019696641790830824,0.06877372286780128,2.09673851280109,0.00033752274011606217,4.316563922161288,0.9759559860600693,0.0009984466822385793,0.00035698188784260567,,,,,,,,,,,,,,,,,,,,,,,,,,,33552,
kalman_rts_accurate,kalman_rts_accurate_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,1766850172.0,1766854176.0,4004.0,3728,0,3972,,,16.883135885678914,16.78984389700477,1.7724049335609051,10.441179404146208,33.79643898459963,70.63528208003528,10.32010992029331,33.79573051614634,70.63491177514358,0.9664191871434014,3.5780033512046847,11.306543513733459,1.9715476862573746,4.472166342388674,6.382131374795765,0.4268000059592481,0.8181810207503079,1.9369082634338342,0.0,96.7497262055427,excellent_trajectory_model_for_reference_free_derivative_analysis,False,ground,100.0,100.0,86.64561600856075,100.0,92.04591174409268,100.0,100.0,3.307371540588238,7.380222319465347,23.038688918759245,0.7050453847834443,0.004254070131497113,0.42326702359966556,2.133319675031979,0.00033516071142675375,4.472166342388674,0.9760251468951118,0.002225125788024277,0.0022034149760716275,,,,,,,,,,,,,,,,,,,,,,,,,,,33552,
kalman_rts_smooth,kalman_rts_smooth_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,1766850172.0,1766854176.0,4004.0,3728,0,3972,,,20.032089703472206,19.73543225212181,3.4347244008606292,13.438555129910737,39.989995973769545,70.69950007570829,13.015489194592295,39.70857260688675,70.63997823461933,1.2411941560763466,5.820897329947085,32.09114162764797,1.7795621169633942,4.176969194752052,5.17843981579045,0.10336849963825685,0.23520620282905194,0.32204529828194073,0.0,97.03070389093145,excellent_trajectory_model_for_reference_free_derivative_analysis,False,ground,100.0,100.0,86.28838332620546,100.0,94.46116113384684,100.0,100.0,3.282208592906351,7.625891639296362,23.358536021395146,0.7875186419007876,0.0009684081751504698,0.012306976339597316,2.049963029933569,0.0003240131916772285,4.176969194752052,0.9755368228648581,0.00053838461526034,6.402122039621426e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,33552,
bea_v_spline_balanced,comp_0001_seg_0001,comp_0001,descent,1766850172.0,1766850398.0,226.0,227,0,226,,comp_0001_bnd_0001,31.757707118450973,31.714997217538233,1.6464850175005035,21.275523334477544,60.006953958991815,109.94049487479137,21.273628757834917,59.97165459649271,109.91219925812211,1.1483529539009396,3.195525545444705,4.985165187271377,0.1483534091178675,0.3967474441513482,0.4674328013780584,0.021745432325242023,0.05613083924094399,0.09762766696012648,0.0,90.34513826106685,excellent_trajectory_model_for_reference_free_derivative_analysis,False,approach_final,95.64018895583807,100.0,79.88309440772574,100.0,100.0,40.87020481130149,100.0,1.558047678959338,3.779919777378298,29.02880475969656,0.5569205991428997,0.00010058925595992598,0.0032640115886683314,0.012674489660848384,1.8299973118431749e-06,0.1817722109089418,0.190349552990514,6.278237753644297e-05,1.70020449667202e-05,46.04340030779846,45.957907807745165,0.007184654027109385,0.07830784602618164,local_tuning_candidate:more_position_detail;base=steady_airborne_default,45000.0,0.45,0.03,3.5,5.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,34,
bea_v_spline_balanced,comp_0001_seg_0002,comp_0001,descent,1766850398.0,1766850763.0,365.0,366,226,591,comp_0001_bnd_0001,comp_0001_bnd_0002,20.573858559417573,20.50152604487484,1.7236838034391189,15.808902823653032,37.20565404370275,52.43527022857283,15.656072461072952,37.1995009272141,52.18511035937973,1.1377807589772146,3.3573937532785294,5.537504710465214,0.2331423553317694,0.46852352005529474,0.7710689613408427,0.02880495263389989,0.07017519115625002,0.09341390701853688,0.0,97.9981003938117,excellent_trajectory_model_for_reference_free_derivative_analysis,False,approach_final,100.0,100.0,87.48812746132303,100.0,100.0,100.0,100.0,0.9429653342247062,1.7147213027560944,22.297988902496744,0.6708842100196329,0.0002471049322189742,0.0053116318615502875,0.09970124534004297,2.056590942869125e-05,0.3933267037480995,0.45477530027266444,0.0001256560962727671,2.7668754377783985e-05,29.160527324276817,29.06369477272958,0.017642632100758778,0.07918991944647863,local_tuning_candidate:more_position_detail;base=steady_airborne_default,45000.0,0.45,0.03,3.5,5.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,56,
bea_v_spline_balanced,comp_0001_seg_0003,comp_0001,descent,1766850763.0,1766851029.0,266.0,265,591,855,comp_0001_bnd_0002,comp_0001_bnd_0003,14.532031164865863,14.415761337065632,1.8345993702703687,10.75219045170203,27.350924370068046,41.37595043242727,10.643068431829828,27.331760695649358,41.37249055747706,1.1228134039298538,3.401103298551129,7.3969845574458475,0.890490890679169,1.4916158929847996,12.37779274001129,0.40773235023500193,0.27933343512242076,5.226152056444798,0.0,96.83976308360529,excellent_trajectory_model_for_reference_free_derivative_analysis,False,approach_final,100.0,100.0,95.76500331487266,100.0,100.0,75.17362553225648,100.0,1.6314389126062845,2.8979750013451167,14.997274039367147,1.1539609081635103,0.001143067060163265,0.021570262796713934,0.0575802786417585,1.5669149797980374e-05,0.523234632398427,0.2829687889370925,0.00039100978154272913,0.00011236866933908507,21.214427180626053,20.82973504752802,0.30362538927087296,0.08106674382716049,local_tuning_candidate:more_position_detail;base=steady_airborne_default,45000.0,0.45,0.03,3.5,5.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,41,
bea_v_spline_balanced,comp_0001_seg_0004,comp_0001,climb,1766851029.0,1766851074.0,45.0,26,855,880,comp_0001_bnd_0003,comp_0001_bnd_0004,27.50569664597407,22.15832280506834,16.296382372991175,24.36130768800931,50.15466430517556,51.1024651234528,18.754188668056557,38.983728871109804,40.33276670153267,12.498503679359601,30.766633895771633,32.42150110482396,1.2242709918127914,1.8762925411459064,4.008320845838412,0.1972881297435225,0.4710596020742834,0.6306531840431818,0.0,97.15099339391628,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,98.38342151872641,99.64078583844757,87.05620764344786,100.0,100.0,94.80648137796881,100.0,3.9117478918536066,6.556057865023653,20.826281044266956,0.6854950458317037,0.0011499427419487294,0.010587186370991587,0.22034583739282354,5.214355045513784e-05,1.5745444050075723,0.33597749972051577,0.00042276467537131525,5.51415956810991e-05,39.18538801114248,38.55867880947824,0.4913054094874774,0.0672153635116598,local_tuning_candidate:more_position_detail;base=steady_airborne_default,45000.0,0.45,0.03,3.5,5.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,7,
bea_v_spline_balanced,comp_0001_seg_0005,comp_0001,descent,1766851074.0,1766851097.0,23.0,22,880,901,comp_0001_bnd_0004,comp_0001_bnd_0005,26.361130154662003,23.416488624450935,12.10690891730794,23.67909125049946,38.5719940428553,41.558785189211214,21.064591658412994,37.423180507314086,40.56934589084614,9.073713729240751,20.387456419070745,21.724123468297535,0.9988564964310993,2.121394036983857,2.61847525180201,0.10332430040721398,0.2125726653403442,0.2535756959566762,0.0,93.50597260726124,excellent_trajectory_model_for_reference_free_derivative_analysis,False,approach_final,99.1218515131213,100.0,93.4395183226259,100.0,100.0,46.61027494066528,100.0,2.6750991647453697,3.588363550353331,16.26741019277529,0.6649423813879667,0.0007246735767532699,0.005724685717686078,0.20769975712413322,4.827955445382661e-05,0.9575296703845501,0.20584774233979625,0.0002969221071417718,2.9816071445860164e-05,35.407818811317625,34.90670466701729,0.3224713494644275,0.06518786781349026,local_tuning_candidate:policy_base;base=steady_airborne_default,100000.0,1.0,0.03,5.0,7.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,6,
bea_v_spline_balanced,comp_0001_seg_0006,comp_0001,level_accel,1766851097.0,1766851119.0,22.0,21,901,921,comp_0001_bnd_0005,comp_0001_bnd_0006,24.729512410153838,24.517196962563585,3.233548691888783,15.219913005089932,45.624204595232996,58.77601865344325,14.540153111148772,45.48137675427624,58.6943251699527,3.144178263318395,5.199520549477711,5.907909662151269,0.6459694309151949,1.1544497179114719,1.7830453744151193,0.09628617164755994,0.20586967179795235,0.261459247078376,0.0,88.72019176496728,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,100.0,100.0,89.74278108897919,100.0,100.0,3.61346790730604,100.0,2.6135263374990223,3.987695872919993,20.303426654680596,0.8025968374468355,0.0005605133065284353,0.005349267592330265,0.059650908439253615,1.2279594490321395e-05,0.7234722178834783,0.08975636334972631,0.0002501391867425848,2.7860768759621527e-05,35.25161084657887,35.0298737022693,0.16848270643974436,0.053254437869822494,local_tuning_candidate:very_smooth_velocity_light;base=steady_airborne_default,320000.0,3.2,0.009,8.0,12.6,0.025,0.2,,,,12.6,,,,,,,,,14,14,6,
bea_v_spline_balanced,comp_0001_seg_0007,comp_0001,energy_constant,1766851119.0,1766851223.0,104.0,102,921,1022,comp_0001_bnd_0006,comp_0001_bnd_0007,30.169331903718803,30.134253507521684,1.454425337087622,18.023180775730026,57.53598485739592,85.6279980516141,18.018276485679745,57.534720614936745,85.6279974895489,0.42662069279163006,3.240619371705614,6.099116691972313,0.25475067089609166,0.5696051470361776,1.3357705879413686,0.0857390397135645,0.1144394152741158,0.6924222571031036,0.0,88.63734222269818,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,96.6649471588911,100.0,88.67982107751638,100.0,100.0,8.487771912286211,100.0,1.5697200700080498,2.927496648014368,21.22806099960583,0.7866647549035096,0.0002721642854784705,0.0060006156646542335,0.026495545040553632,4.6645264995307784e-06,0.5701256550820842,0.10291698416317277,0.00013488106141311263,3.1254541695090845e-05,43.55439531235264,43.38908883623027,0.08978640153463734,0.075520074587728,local_tuning_candidate:more_position_detail;base=energy_constant_segment_smoothest_airborne_policy,67500.0,0.45,0.02,4.8999999999999995,7.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,18,
bea_v_spline_balanced,comp_0001_seg_0008,comp_0001,level_accel__turn_left_slow,1766851223.0,1766851315.0,92.0,83,1022,1104,comp_0001_bnd_0007,comp_0001_bnd_0008,25.105060525590368,25.030247189399304,1.9366955442515823,21.67767082111248,42.45574734062191,50.420337265005685,21.675263999670534,42.45339679665291,50.42020597049437,0.3876257977063915,4.068062371142115,6.6387838979401295,2.7492703728849,4.213740491912496,4.243178777712417,0.16515535226987016,0.27329890595640116,0.3638937783206353,0.0,98.35665156705413,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,99.93221901574815,100.0,89.77990803227706,100.0,100.0,100.0,100.0,5.274549957766309,8.069714699958253,20.255604174741016,0.8208374528417075,0.001773673547394384,0.020176599467293926,2.6040458532991906,0.000493624860861282,4.222452466088468,0.9642235646926979,0.0009195841370601304,0.00010509065237567072,35.48653500862604,34.604616739014865,0.8044891580799871,0.07742911153119093,local_tuning_candidate:policy_base;base=turn_or_transition_more_knots_shared_boundary_velocity,18000.0,1.0,0.025,4.0,5.5,0.025,0.2,,,,7.0,,,,,,,,,14,14,16,
bea_v_spline_balanced,comp_0001_seg_0009,comp_0001,energy_constant,1766851315.0,1766851392.0,77.0,77,1104,1180,comp_0001_bnd_0008,comp_0001_bnd_0009,27.442639922259648,27.43931521789316,0.4271607143638007,22.904556991096783,47.39077241941615,70.69578630538052,22.904484989556536,47.39072718139012,70.69576144194914,0.09631831794331447,0.30939988675104363,3.4869519830805302,0.5516715364385003,1.415559333108875,1.7385543473782792,0.11496719059004121,0.26424111253195115,0.5026604066084704,0.0,86.99784647425484,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,98.42410327596153,100.0,82.36736122080836,100.0,100.0,0.08176285810102095,100.0,2.2196084650153582,5.501292882664825,26.7979133592368,0.6099554067722215,0.0006415427267331242,0.015662351107026892,0.05484007278104815,8.39533430971671e-06,0.6458717344213999,0.08022075971687276,0.00039417865297880337,8.158095092994223e-05,38.79994167569249,38.334710132250486,0.38662205789740905,0.07860948554458903,local_tuning_candidate:more_position_detail;base=energy_constant_segment_smoothest_airborne_policy,67500.0,0.45,0.02,4.8999999999999995,7.0,0.025,0.2,,,,7.0,,,,,,,,,14,14,15,
bea_v_spline_balanced,comp_0001_seg_0010,comp_0001,level_accel__turn_left_slow,1766851392.0,1766851445.0,53.0,51,1180,1230,comp_0001_bnd_0009,comp_0001_bnd_0010,86.80376478852314,86.77391523384655,2.2762285584850743,68.71492170258111,144.4363964004179,155.34244885249606,68.71366621425199,144.40994168392993,155.3254211509715,2.236374173828608,3.7523604651025835,4.326344189414613,1.6801147946372224,3.01233561398159,3.0410609008298404,0.14988652334708502,0.27298897294585134,0.5172698711519829,0.0,92.0128460926384,excellent_trajectory_model_for_reference_free_derivative_analysis,False,airborne,60.12660336224314,100.0,79.98533555730752,100.0,100.0,100.0,100.0,8.320670394494226,14.224812495974737,28.91737968933441,2.681119574942925,0.0010295913625442432,0.013025987043043287,1.4736546683476035,0.0002240548510575554,3.029046713372689,0.7166572474806864,0.000652818122381821,6.784368251573438e-05,119.2052590342414,118.79789304565664,0.30150798460927464,0.06096631611034903,local_tuning_candidate:energy_change_sparse_low_velocity;base=turn_or_transition_more_knots_shared_boundary_velocity,25200.0,1.4,0.00625,5.0,7.975,0.025,0.2,,,,7.975,,,,,,,,,14,14,10,
